"No.","Time","Source","Destination","Protocol","Length","Time since request","Info"
"19","4.353175879","10.112.3.78","10.5.20.222","HTTP","433","","GET / HTTP/1.1 "
"21","4.354716150","10.5.20.222","10.112.3.78","HTTP","1462","0.001540271","HTTP/1.1 200 OK  (text/html)"
"30","4.413859279","10.112.3.78","10.5.20.222","HTTP","406","","GET /css/style.css HTTP/1.1 "
"34","4.414042002","10.112.3.78","10.5.20.222","HTTP","407","","GET /css/mobile.css HTTP/1.1 "
"38","4.414268074","10.112.3.78","10.5.20.222","HTTP","390","","GET /js/mobile.js HTTP/1.1 "
"41","4.415127485","10.5.20.222","10.112.3.78","HTTP","896","0.000859411","HTTP/1.1 200 OK  (application/javascript)"
"46","4.415296056","10.5.20.222","10.112.3.78","HTTP","544","0.001254054","HTTP/1.1 200 OK  (text/css)"
"55","4.416014318","10.5.20.222","10.112.3.78","HTTP","502","0.002155039","HTTP/1.1 200 OK  (text/css)"
"61","4.470858885","10.112.3.78","10.5.20.222","HTTP","393","","GET /images/logo.png HTTP/1.1 "
"69","4.471348746","10.112.3.78","10.5.20.222","HTTP","398","","GET /images/satellite.png HTTP/1.1 "
"70","4.471430743","10.112.3.78","10.5.20.222","HTTP","403","","GET /images/project-image1.jpg HTTP/1.1 "
"76","4.471782193","10.5.20.222","10.112.3.78","HTTP","269","0.000923308","HTTP/1.1 200 OK  (PNG)"
"149","4.476045217","10.112.3.78","10.5.20.222","HTTP","403","","GET /images/project-image2.jpg HTTP/1.1 "
"152","4.476094502","10.5.20.222","10.112.3.78","HTTP","256","0.004663759","HTTP/1.1 200 OK  (JPEG JFIF image)"
"161","4.476321686","10.112.3.78","10.5.20.222","HTTP","403","","GET /images/project-image3.jpg HTTP/1.1 "
"194","4.477985432","10.112.3.78","10.5.20.222","HTTP","403","","GET /images/project-image4.jpg HTTP/1.1 "
"198","4.478075210","10.112.3.78","10.5.20.222","HTTP","417","","GET /images/bg-transparent1.png HTTP/1.1 "
"209","4.478503045","10.112.3.78","10.5.20.222","HTTP","485","","GET /fonts/audiowide-regular-webfont.woff HTTP/1.1 "
"253","4.481175692","10.5.20.222","10.112.3.78","HTTP","1126","0.005130475","HTTP/1.1 200 OK  (JPEG JFIF image)"
"286","4.483019767","10.5.20.222","10.112.3.78","HTTP","1310","0.004944557","HTTP/1.1 200 OK  (PNG)"
"325","4.485230684","10.5.20.222","10.112.3.78","HTTP","1288","0.008908998","HTTP/1.1 200 OK  (JPEG JFIF image)"
"349","4.486478687","10.112.3.78","10.5.20.222","HTTP","399","","GET /images/mars-rover.jpg HTTP/1.1 "
"366","4.487525072","10.5.20.222","10.112.3.78","HTTP","795","0.009539640","HTTP/1.1 200 OK  (JPEG JFIF image)"
"397","4.489358723","10.5.20.222","10.112.3.78","HTTP","1153","0.010855678","HTTP/1.1 200 OK  (application/font-woff)"
"418","4.490755675","10.112.3.78","10.5.20.222","HTTP","403","","GET /images/finding-planet.jpg HTTP/1.1 "
"460","4.493462753","10.112.3.78","10.5.20.222","HTTP","406","","GET /images/new-satellitedish.jpg HTTP/1.1 "
"491","4.495231727","10.5.20.222","10.112.3.78","HTTP","614","0.004476052","HTTP/1.1 200 OK  (JPEG JFIF image)"
"543","4.498737618","10.112.3.78","10.5.20.222","HTTP","409","","GET /images/bg-home.jpg HTTP/1.1 "
"546","4.498912418","10.5.20.222","10.112.3.78","HTTP","1158","0.005449665","HTTP/1.1 200 OK  (JPEG JFIF image)"
"553","4.499174736","10.5.20.222","10.112.3.78","HTTP","162","0.012696049","HTTP/1.1 200 OK  (JPEG JFIF image)"
"594","4.501869981","10.112.3.78","10.5.20.222","HTTP","407","","GET /images/icons.png HTTP/1.1 "
"615","4.503163132","10.5.20.222","10.112.3.78","HTTP","238","0.031814386","HTTP/1.1 200 OK  (PNG)"
"645","4.504857467","10.5.20.222","10.112.3.78","HTTP","926","0.002987486","HTTP/1.1 200 OK  (PNG)"
"1100","4.556060347","10.5.20.222","10.112.3.78","HTTP","210","0.057322729","HTTP/1.1 200 OK  (JPEG JFIF image)"
